Problem,n,Method,Case,h_mode,k_fd,tol,start_type,point_id,run_id,GradNorm,Iterations,MaxIterations,InnerMaxIterations,Success,flag,ConvergenceRate,TimeSeconds,FinalF,PathLen,LastStep
p31,2,nm,Mixed FD,adaptive,4.0,1e-06,initial,xbar,25,7.791188625997341e-07,1000,1000,,True,-,2.680997709510106,0.005505084991455078,2.7698361944286755e-14,13,1.6656547675514363e-07
p31,2,tr,Mixed FD,adaptive,4.0,1e-06,initial,xbar,25,9.692873287983687e-07,13,1000,1000.0,True,-,2.930088348375972,0.0036079883575439453,4.5825022487375325e-14,14,2.0283221424576267e-07
p31,2,nm,Mixed FD,adaptive,4.0,1e-06,random,rand1,26,7.058868542707753e-07,1000,1000,,True,-,0.4906848630202729,0.005383968353271484,7.454144538241535e-15,14,1.5091985339132337e-07
p31,2,tr,Mixed FD,adaptive,4.0,1e-06,random,rand1,26,1.73928038179085e-07,14,1000,1000.0,True,-,2.6687966850122704,0.004591226577758789,1.4764643830626214e-15,15,3.83153022685725e-08
p31,2,nm,Mixed FD,adaptive,4.0,1e-06,random,rand2,27,7.836842476384721e-07,1000,1000,,True,-,0.43606514518588496,0.004987001419067383,8.778284910470049e-15,13,1.675527854558317e-07
p31,2,tr,Mixed FD,adaptive,4.0,1e-06,random,rand2,27,1.5011388639035725e-07,13,1000,1000.0,True,-,2.948904833845069,0.004019975662231445,1.0990517075764825e-15,14,3.130594874334322e-08
p31,2,nm,Mixed FD,adaptive,4.0,1e-06,random,rand3,28,4.875527014399172e-07,1000,1000,,True,-,1.411716859119863,0.005610942840576172,5.86644274317641e-15,14,1.0423383915307052e-07
p31,2,tr,Mixed FD,adaptive,4.0,1e-06,random,rand3,28,5.757754025399355e-07,14,1000,1000.0,True,-,2.9344937933970248,0.004691123962402344,1.6169583991555728e-14,15,1.203898205094714e-07
p31,2,nm,Mixed FD,adaptive,4.0,1e-06,random,rand4,29,8.494047002473653e-07,1000,1000,,True,-,0.3823227018491006,0.005936861038208008,9.373398215404755e-15,14,1.8160171841039445e-07
p31,2,tr,Mixed FD,adaptive,4.0,1e-06,random,rand4,29,2.3868246914680984e-07,13,1000,1000.0,True,-,2.774182386617859,0.0039119720458984375,2.7797852721943375e-15,14,5.145099615180161e-08
p31,2,nm,Mixed FD,adaptive,4.0,1e-06,random,rand5,30,6.052625613821298e-07,1000,1000,,True,-,1.7514664315284099,0.006403923034667969,1.0996767146820413e-14,14,1.2939794020097302e-07
p31,2,tr,Mixed FD,adaptive,4.0,1e-06,random,rand5,30,2.3180201290620137e-07,12,1000,1000.0,True,-,3.027885774034666,0.0033190250396728516,2.620121673115562e-15,13,4.7674951634190676e-08
p31,2,nm,Mixed FD,adaptive,8.0,1e-06,initial,xbar,31,7.779772294221561e-07,1000,1000,,True,-,2.68671792321871,0.005187034606933594,2.769593592207781e-14,13,1.6632738031880105e-07
p31,2,tr,Mixed FD,adaptive,8.0,1e-06,initial,xbar,31,9.606316786430777e-07,13,1000,1000.0,True,-,2.914686168415601,0.004971027374267578,4.5014630825552083e-14,14,2.020893319208661e-07
p31,2,nm,Mixed FD,adaptive,8.0,1e-06,random,rand1,32,7.062690910781828e-07,1000,1000,,True,-,0.4882971706485967,0.005352973937988281,7.445132514779953e-15,14,1.50996473838134e-07
p31,2,tr,Mixed FD,adaptive,8.0,1e-06,random,rand1,32,1.723453222181475e-07,14,1000,1000.0,True,-,2.653898585512293,0.003847837448120117,1.4498405283450793e-15,15,3.818761131787078e-08
