,n,rho,C1,norm_gradient,time,final_score,converges,iterations,path
20,2,0.4,0.4,3.313372488070706e-07,0.015269279479980469,2.4702978894925087e-15,True,13,"[[-1.         -1.        ]
 [-0.72394112 -0.61850406]
 [-0.54106429 -0.42988761]
 [-0.4593588  -0.37610709]
 [-0.44876412 -0.38085579]
 [-0.45277158 -0.38564002]
 [-0.45349538 -0.38564374]
 [-0.45332566 -0.38540514]
 [-0.45330769 -0.3854003 ]
 [-0.45328324 -0.3853976 ]
 [-0.45328803 -0.38540492]
 [-0.4532895  -0.38540542]
 [-0.45328934 -0.38540508]
 [-0.45328926 -0.38540503]]"
21,1000,0.4,0.4,7.338506970822153e-07,0.02589893341064453,1.4353770819274737e-14,True,16,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.72043139 -0.77976131 -0.79498339 ... -0.80887911 -0.80555947
  -0.63536909]
 [-0.59737706 -0.69123704 -0.71430543 ... -0.71977387 -0.66537093
  -0.45958254]
 ...
 [-0.5707612  -0.68191014 -0.70248603 ... -0.66579734 -0.59603519
  -0.4164123 ]
 [-0.5707612  -0.68191013 -0.70248601 ... -0.6657975  -0.59603535
  -0.41641234]
 [-0.57076119 -0.68191013 -0.70248602 ... -0.66579755 -0.59603534
  -0.41641231]]"
22,10000,0.4,0.4,7.338506970822154e-07,0.0788888931274414,1.4353770819274733e-14,True,16,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.72043139 -0.77976131 -0.79498339 ... -0.80887911 -0.80555947
  -0.63536909]
 [-0.59737706 -0.69123704 -0.71430543 ... -0.71977387 -0.66537093
  -0.45958254]
 ...
 [-0.5707612  -0.68191014 -0.70248603 ... -0.66579734 -0.59603519
  -0.4164123 ]
 [-0.5707612  -0.68191013 -0.70248601 ... -0.6657975  -0.59603535
  -0.41641234]
 [-0.57076119 -0.68191013 -0.70248602 ... -0.66579755 -0.59603534
  -0.41641231]]"
23,100000,0.4,0.4,7.338506970822153e-07,0.9093716144561768,1.4353770819274737e-14,True,16,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.72043139 -0.77976131 -0.79498339 ... -0.80887911 -0.80555947
  -0.63536909]
 [-0.59737706 -0.69123704 -0.71430543 ... -0.71977387 -0.66537093
  -0.45958254]
 ...
 [-0.5707612  -0.68191014 -0.70248603 ... -0.66579734 -0.59603519
  -0.4164123 ]
 [-0.5707612  -0.68191013 -0.70248601 ... -0.6657975  -0.59603535
  -0.41641234]
 [-0.57076119 -0.68191013 -0.70248602 ... -0.66579755 -0.59603534
  -0.41641231]]"
24,2,0.4,0.6,1.0422147801445498e-06,0.03941226005554199,1.4490751871686675e-14,True,36,"[[-1.         -1.        ]
 [-0.88957645 -0.84740162]
 [-0.79343241 -0.72346147]
 [-0.71133776 -0.62495072]
 [-0.64300802 -0.54883746]
 [-0.58795618 -0.49211354]
 [-0.54532463 -0.45166867]
 [-0.51377544 -0.42428098]
 [-0.4915296  -0.40676407]
 [-0.47657693 -0.3962197 ]
 [-0.46696487 -0.39026677]
 [-0.46102964 -0.38713899]
 [-0.45749647 -0.38564066]
 [-0.45546568 -0.38502266]
 [-0.45434038 -0.38484559]
 [-0.45374277 -0.38486684]
 [-0.45344254 -0.38496079]
 [-0.45330375 -0.38506752]
 [-0.45324864 -0.38516209]
 [-0.45323419 -0.38523691]
 [-0.4532375  -0.38529225]
 [-0.45324705 -0.38533134]
 [-0.45325743 -0.38535799]
 [-0.45326647 -0.38537565]
 [-0.45327355 -0.38538707]
 [-0.45327876 -0.38539429]
 [-0.45328242 -0.38539875]
 [-0.45328491 -0.38540146]
 [-0.45328655 -0.38540306]
 [-0.45328761 -0.38540399]
 [-0.45328827 -0.38540451]
 [-0.45328869 -0.3854048 ]
 [-0.45328894 -0.38540495]
 [-0.45328908 -0.38540502]
 [-0.45328917 -0.38540505]
 [-0.45328922 -0.38540507]
 [-0.45328924 -0.38540507]]"
25,1000,0.4,0.6,3.382902132759197e-06,0.055253028869628906,6.186096442418046e-13,True,35,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.88817256 -0.91190452 -0.91799336 ... -0.92355164 -0.92222379
  -0.85414763]
 [-0.7991656  -0.84275229 -0.8538885  ... -0.86210735 -0.85219328
  -0.73622212]
 ...
 [-0.57076125 -0.68191016 -0.70248605 ... -0.66579752 -0.59603541
  -0.4164124 ]
 [-0.57076123 -0.68191015 -0.70248603 ... -0.66579754 -0.59603539
  -0.41641236]
 [-0.57076121 -0.68191014 -0.70248603 ... -0.66579755 -0.59603537
  -0.41641234]]"
26,10000,0.4,0.6,9.289799688803521e-06,0.17617368698120117,5.297131457029543e-12,True,35,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.88817256 -0.91190452 -0.91799336 ... -0.92355164 -0.92222379
  -0.85414763]
 [-0.7991656  -0.84275229 -0.8538885  ... -0.86210735 -0.85219328
  -0.73622212]
 ...
 [-0.57076125 -0.68191016 -0.70248605 ... -0.66579752 -0.59603541
  -0.4164124 ]
 [-0.57076123 -0.68191015 -0.70248603 ... -0.66579754 -0.59603539
  -0.41641236]
 [-0.57076121 -0.68191014 -0.70248603 ... -0.66579755 -0.59603537
  -0.41641234]]"
27,100000,0.4,0.6,2.889401135946282e-05,2.013265609741211,5.208234958490717e-11,True,35,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.88817256 -0.91190452 -0.91799336 ... -0.92355164 -0.92222379
  -0.85414763]
 [-0.7991656  -0.84275229 -0.8538885  ... -0.86210735 -0.85219328
  -0.73622212]
 ...
 [-0.57076125 -0.68191016 -0.70248605 ... -0.66579752 -0.59603541
  -0.4164124 ]
 [-0.57076123 -0.68191015 -0.70248603 ... -0.66579754 -0.59603539
  -0.41641236]
 [-0.57076121 -0.68191014 -0.70248603 ... -0.66579755 -0.59603537
  -0.41641234]]"
28,2,0.4,0.8,9.902995670647085e-07,0.08718609809875488,2.1673363892163712e-14,True,78,"[[-1.         -1.        ]
 [-0.88957645 -0.84740162]
 [-0.79343241 -0.72346147]
 [-0.71133776 -0.62495072]
 [-0.64300802 -0.54883746]
 [-0.62098728 -0.52614789]
 [-0.60089492 -0.50598435]
 [-0.58265675 -0.4881659 ]
 [-0.56619006 -0.47251115]
 [-0.55140403 -0.45883934]
 [-0.53820045 -0.44697175]
 [-0.52647512 -0.43673338]
 [-0.51611946 -0.42795478]
 [-0.5070224  -0.42047379]
 [-0.49907247 -0.41413713]
 [-0.4921597  -0.4088018 ]
 [-0.48617742 -0.40433598]
 [-0.48102381 -0.40061964]
 [-0.47660307 -0.39754478]
 [-0.47282629 -0.39501524]
 [-0.46961192 -0.3929463 ]
 [-0.46688601 -0.39126399]
 [-0.46458219 -0.38990435]
 [-0.46264135 -0.38881245]
 [-0.46101134 -0.38794149]
 [-0.45964643 -0.38725187]
 [-0.45850679 -0.38671029]
 [-0.45755789 -0.38628889]
 [-0.45677002 -0.38596453]
 [-0.45611765 -0.38571804]
 [-0.45557899 -0.38553367]
 [-0.45513547 -0.38539849]
 [-0.45477136 -0.38530198]
 [-0.45447334 -0.38523561]
 [-0.45423019 -0.38519249]
 [-0.45403247 -0.38516711]
 [-0.45387227 -0.38515505]
 [-0.45374297 -0.38515281]
 [-0.45363905 -0.38515766]
 [-0.45355591 -0.38516745]
 [-0.45348974 -0.38518051]
 [-0.45343737 -0.38519557]
 [-0.45339621 -0.38521168]
 [-0.45336408 -0.38522813]
 [-0.45333924 -0.38524439]
 [-0.45332023 -0.38526011]
 [-0.45330587 -0.38527504]
 [-0.4532952  -0.38528902]
 [-0.45328743 -0.38530197]
 [-0.45328193 -0.38531385]
 [-0.45327259 -0.38534088]
 [-0.45327171 -0.38536143]
 [-0.45327418 -0.38537621]
 [-0.45327753 -0.38538645]
 [-0.45328069 -0.38539332]
 [-0.45328326 -0.38539781]
 [-0.45328519 -0.38540067]
 [-0.45328658 -0.38540246]
 [-0.45328754 -0.38540356]
 [-0.45328779 -0.38540382]
 [-0.45328801 -0.38540404]
 [-0.4532882  -0.38540422]
 [-0.45328837 -0.38540437]
 [-0.4532885  -0.3854045 ]
 [-0.45328862 -0.3854046 ]
 [-0.45328872 -0.38540469]
 [-0.45328881 -0.38540476]
 [-0.45328888 -0.38540481]
 [-0.45328894 -0.38540486]
 [-0.453289   -0.3854049 ]
 [-0.45328904 -0.38540493]
 [-0.45328908 -0.38540496]
 [-0.45328911 -0.38540498]
 [-0.45328914 -0.38540499]
 [-0.45328916 -0.38540501]
 [-0.45328918 -0.38540502]
 [-0.45328919 -0.38540503]
 [-0.4532892  -0.38540503]
 [-0.45328921 -0.38540504]]"
29,1000,0.4,0.8,5.416466244827852e-06,0.1276259422302246,1.6975107312586512e-12,True,80,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.88817256 -0.91190452 -0.91799336 ... -0.92355164 -0.92222379
  -0.85414763]
 [-0.7991656  -0.84275229 -0.8538885  ... -0.86210735 -0.85219328
  -0.73622212]
 ...
 [-0.57076124 -0.68191016 -0.70248606 ... -0.66579747 -0.59603531
  -0.41641233]
 [-0.57076123 -0.68191015 -0.70248605 ... -0.66579748 -0.59603532
  -0.41641233]
 [-0.57076122 -0.68191015 -0.70248605 ... -0.66579749 -0.59603532
  -0.41641233]]"
