,n,C1,rho,norm_gradient,time,final_score,converges,iterations
33,1000,0.2,0.6,8.851308668237188e-07,0.10487532615661621,2.3706374704529056e-14,True,19
34,10000,0.2,0.6,7.861668483059093e-07,0.39531683921813965,1.9330706724969183e-14,True,19
35,100000,0.2,0.6,8.226383410682898e-07,4.791320562362671,2.0353514614570246e-14,True,19
36,2,0.4,0.6,2.2274623040500718e-07,0.029434919357299805,1.370635588996263e-15,True,13
37,1000,0.4,0.6,8.851308668237188e-07,0.10421490669250488,2.3706374704529056e-14,True,19
38,10000,0.4,0.6,7.861668483059093e-07,0.4021446704864502,1.9330706724969183e-14,True,19
39,100000,0.4,0.6,8.226383410682898e-07,4.777362585067749,2.0353514614570246e-14,True,19
40,2,0.6,0.6,7.353291274297878e-07,0.04869532585144043,1.7423361871202535e-14,True,22
41,1000,0.6,0.6,8.613365540512449e-07,0.14973759651184082,1.835643853240549e-14,True,26
42,10000,0.6,0.6,8.116874363610786e-07,0.5733659267425537,1.6711289972053154e-14,True,27
43,100000,0.6,0.6,8.226912797200101e-07,6.065770149230957,1.089357128594189e-14,True,29
44,2,0.8,0.6,9.246881951986051e-07,0.14606165885925293,1.6908010493569233e-14,True,65
45,1000,0.8,0.6,9.992391151787562e-07,0.4537017345428467,3.131684308488639e-14,True,73
46,10000,0.8,0.6,9.214467462853755e-07,1.6767427921295166,2.595919741826009e-14,True,76
47,100000,0.8,0.6,9.526610411317305e-07,17.50565767288208,2.7221359537204988e-14,True,77
48,2,0.2,0.8,5.577018880458987e-07,0.029367923736572266,5.892302726636391e-15,True,12
49,1000,0.2,0.8,8.851308668237188e-07,0.10541224479675293,2.3706374704529056e-14,True,19
50,10000,0.2,0.8,7.861668483059093e-07,0.3916282653808594,1.9330706724969183e-14,True,19
51,100000,0.2,0.8,8.226383410682898e-07,4.7596259117126465,2.0353514614570246e-14,True,19
52,2,0.4,0.8,7.316387732612642e-07,0.026998043060302734,7.38856648116947e-15,True,12
53,1000,0.4,0.8,8.851308668237188e-07,0.10539650917053223,2.3706374704529056e-14,True,19
54,10000,0.4,0.8,7.861668483059093e-07,0.3977997303009033,1.9330706724969183e-14,True,19
55,100000,0.4,0.8,8.226383410682898e-07,4.848820447921753,2.0353514614570246e-14,True,19
56,2,0.6,0.8,5.514085813868081e-07,0.042723894119262695,1.147181092691181e-14,True,19
57,1000,0.6,0.8,6.906901196964829e-07,0.13729238510131836,1.1670762902261144e-14,True,24
58,10000,0.6,0.8,7.076981193872862e-07,0.503028392791748,1.2316802420190068e-14,True,24
59,100000,0.6,0.8,5.932984120980922e-07,5.32281494140625,9.185533691281171e-15,True,24
60,2,0.8,0.8,9.678881449651378e-07,0.12986016273498535,1.6611365284908032e-14,True,56
61,1000,0.8,0.8,9.733829258326824e-07,0.3766520023345947,2.9051526366308246e-14,True,63
62,10000,0.8,0.8,8.943037104833909e-07,1.4602861404418945,2.5763368190791628e-14,True,67
63,100000,0.8,0.8,9.833796729487243e-07,15.41465711593628,3.013993984428376e-14,True,68
